module,syllabusRef,level,text,optionA,optionB,optionC,optionD,correctAnswer,difficulty,subTopic,aiSourceRef,aiConfidence,status,reviewNote,points,sourceFile,rawJson,isEssay
M7,M7.07.01,,What must employers ensure is available at all times?,Updated employee schedules,Material Safety Data Sheets,Equipment maintenance logs,,Material Safety Data Sheets,MEDIUM,,,,APPROVED,,1,mcqs m7.docx,"{""raw"": ""What must employers ensure is available at all times?"", ""question"": ""What must employers ensure is available at all times?"", ""options"": [""Updated employee schedules"", ""Material Safety Data Sheets"", ""Equipment maintenance logs""], ""correct"": ""Material Safety Data Sheets"", ""answer_text"": null, ""category"": null, ""source_file"": ""mcqs m7.docx"", ""source_module"": ""M7"", ""fmt"": ""csv"", ""module"": ""M7"", ""syllabusRef"": ""M7.07.01"", ""level"": """", ""difficulty"": ""MEDIUM"", ""subTopic"": """", ""isEssay"": false}",False
M7,M7.07.01,,What is the purpose of Material Safety Data Sheets (MSDS)?,To describe company policies,To provide information on hazardous materials,To list employee responsibilities,,To provide information on hazardous materials,MEDIUM,,,,APPROVED,,1,mcqs m7.docx,"{""raw"": ""What is the purpose of Material Safety Data Sheets (MSDS)?"", ""question"": ""What is the purpose of Material Safety Data Sheets (MSDS)?"", ""options"": [""To describe company policies"", ""To provide information on hazardous materials"", ""To list employee responsibilities""], ""correct"": ""To provide information on hazardous materials"", ""answer_text"": null, ""category"": null, ""source_file"": ""mcqs m7.docx"", ""source_module"": ""M7"", ""fmt"": ""csv"", ""module"": ""M7"", ""syllabusRef"": ""M7.07.01"", ""level"": """", ""difficulty"": ""MEDIUM"", ""subTopic"": """", ""isEssay"": false}",False
M7,M7.07.03,,What type of cutting tools presents a greater threat of injury?,Sharp tools,Dull cutting tools,Electric tools,,Dull cutting tools,MEDIUM,,,,APPROVED,,1,mcqs m7.docx,"{""raw"": ""What type of cutting tools presents a greater threat of injury?"", ""question"": ""What type of cutting tools presents a greater threat of injury?"", ""options"": [""Sharp tools"", ""Dull cutting tools"", ""Electric tools""], ""correct"": ""Dull cutting tools"", ""answer_text"": null, ""category"": null, ""source_file"": ""mcqs m7.docx"", ""source_module"": ""M7"", ""fmt"": ""csv"", ""module"": ""M7"", ""syllabusRef"": ""M7.07.03"", ""level"": """", ""difficulty"": ""MEDIUM"", ""subTopic"": """", ""isEssay"": false}",False
M7,M7.07.03,,Why can dull tools be more dangerous?,They are harder to grip,They require excessive force to operate,They are usually heavier,,They require excessive force to operate,EASY,,,,APPROVED,,1,mcqs m7.docx,"{""raw"": ""Why can dull tools be more dangerous?"", ""question"": ""Why can dull tools be more dangerous?"", ""options"": [""They are harder to grip"", ""They require excessive force to operate"", ""They are usually heavier""], ""correct"": ""They require excessive force to operate"", ""answer_text"": null, ""category"": null, ""source_file"": ""mcqs m7.docx"", ""source_module"": ""M7"", ""fmt"": ""csv"", ""module"": ""M7"", ""syllabusRef"": ""M7.07.03"", ""level"": """", ""difficulty"": ""EASY"", ""subTopic"": """", ""isEssay"": false}",False
M7,M7.0.3,,What should be ensured before using cutting tools?,That the tools are dull,That the tools are sharp and serviceable,That the tools are made of plastic,,That the tools are sharp and serviceable,MEDIUM,,,,APPROVED,,1,mcqs m7.docx,"{""raw"": ""What should be ensured before using cutting tools?"", ""question"": ""What should be ensured before using cutting tools?"", ""options"": [""That the tools are dull"", ""That the tools are sharp and serviceable"", ""That the tools are made of plastic""], ""correct"": ""That the tools are sharp and serviceable"", ""answer_text"": null, ""category"": null, ""source_file"": ""mcqs m7.docx"", ""source_module"": ""M7"", ""fmt"": ""csv"", ""module"": ""M7"", ""syllabusRef"": ""M7.0.3"", ""level"": """", ""difficulty"": ""MEDIUM"", ""subTopic"": """", ""isEssay"": false}",False
M7,M7.0.3,,"According to OSHA, what is the maximum permissible noise level for continuous exposure over 8 hours?",70 dB,80 dB,85 dB,,80 dB,MEDIUM,,,,APPROVED,,1,mcqs m7.docx,"{""raw"": ""According to OSHA, what is the maximum permissible noise level for continuous exposure over 8 hours?"", ""question"": ""According to OSHA, what is the maximum permissible noise level for continuous exposure over 8 hours?"", ""options"": [""70 dB"", ""80 dB"", ""85 dB""], ""correct"": ""80 dB"", ""answer_text"": null, ""category"": null, ""source_file"": ""mcqs m7.docx"", ""source_module"": ""M7"", ""fmt"": ""csv"", ""module"": ""M7"", ""syllabusRef"": ""M7.0.3"", ""level"": """", ""difficulty"": ""MEDIUM"", ""subTopic"": """", ""isEssay"": false}",False
M7,,,When is ear protection mandatory?,Above 80 dB,Above 90 dB,At all times,,Above 90 dB,EASY,,,,APPROVED,,1,mcqs m7.docx,"{""raw"": ""When is ear protection mandatory?"", ""question"": ""When is ear protection mandatory?"", ""options"": [""Above 80 dB"", ""Above 90 dB"", ""At all times""], ""correct"": ""Above 90 dB"", ""answer_text"": null, ""category"": null, ""source_file"": ""mcqs m7.docx"", ""source_module"": ""M7"", ""fmt"": ""csv"", ""module"": ""M7"", ""syllabusRef"": """", ""level"": """", ""difficulty"": ""EASY"", ""subTopic"": """", ""isEssay"": false}",False
M7,,,What is optional when noise levels are less than 80 dB?,Taking breaks,Using ear protection,Performing maintenance,,Using ear protection,MEDIUM,,,,APPROVED,,1,mcqs m7.docx,"{""raw"": ""What is optional when noise levels are less than 80 dB?"", ""question"": ""What is optional when noise levels are less than 80 dB?"", ""options"": [""Taking breaks"", ""Using ear protection"", ""Performing maintenance""], ""correct"": ""Using ear protection"", ""answer_text"": null, ""category"": null, ""source_file"": ""mcqs m7.docx"", ""source_module"": ""M7"", ""fmt"": ""csv"", ""module"": ""M7"", ""syllabusRef"": """", ""level"": """", ""difficulty"": ""MEDIUM"", ""subTopic"": """", ""isEssay"": false}",False
M7,M7.0.3,,What dB range do the wax-impregnated polyurethane earplugs provide protection?,20 to 25 dB,30 to 35 dB,40 to 50 dB,,30 to 35 dB,MEDIUM,,,,APPROVED,,1,mcqs m7.docx,"{""raw"": ""What dB range do the wax-impregnated polyurethane earplugs provide protection?"", ""question"": ""What dB range do the wax-impregnated polyurethane earplugs provide protection?"", ""options"": [""20 to 25 dB"", ""30 to 35 dB"", ""40 to 50 dB""], ""correct"": ""30 to 35 dB"", ""answer_text"": null, ""category"": null, ""source_file"": ""mcqs m7.docx"", ""source_module"": ""M7"", ""fmt"": ""csv"", ""module"": ""M7"", ""syllabusRef"": ""M7.0.3"", ""level"": """", ""difficulty"": ""MEDIUM"", ""subTopic"": """", ""isEssay"": false}",False
M7,,,What does active noise reduction cancel out?,High-frequency noises,Low-frequency noise,Voice levels,,Low-frequency noise,EASY,,,,APPROVED,,1,mcqs m7.docx,"{""raw"": ""What does active noise reduction cancel out?"", ""question"": ""What does active noise reduction cancel out?"", ""options"": [""High-frequency noises"", ""Low-frequency noise"", ""Voice levels""], ""correct"": ""Low-frequency noise"", ""answer_text"": null, ""category"": null, ""source_file"": ""mcqs m7.docx"", ""source_module"": ""M7"", ""fmt"": ""csv"", ""module"": ""M7"", ""syllabusRef"": """", ""level"": """", ""difficulty"": ""EASY"", ""subTopic"": """", ""isEssay"": false}",False
M7,M7.0.7,,When are earplugs combined with earmuffs recommended?,Above 95 dB,Above 115 dB,Above 80 dB,,Above 115 dB,MEDIUM,,,,APPROVED,,1,mcqs m7.docx,"{""raw"": ""When are earplugs combined with earmuffs recommended?"", ""question"": ""When are earplugs combined with earmuffs recommended?"", ""options"": [""Above 95 dB"", ""Above 115 dB"", ""Above 80 dB""], ""correct"": ""Above 115 dB"", ""answer_text"": null, ""category"": null, ""source_file"": ""mcqs m7.docx"", ""source_module"": ""M7"", ""fmt"": ""csv"", ""module"": ""M7"", ""syllabusRef"": ""M7.0.7"", ""level"": """", ""difficulty"": ""MEDIUM"", ""subTopic"": """", ""isEssay"": false}",False
M7,M7.0.3,,What are the three distinctive variables of sound?,"Frequency, intensity, and rhythm","Frequency, intensity, and duration","Frequency, pitch, and speed",,"Frequency, intensity, and duration",MEDIUM,,,,APPROVED,,1,mcqs m7.docx,"{""raw"": ""What are the three distinctive variables of sound?"", ""question"": ""What are the three distinctive variables of sound?"", ""options"": [""Frequency, intensity, and rhythm"", ""Frequency, intensity, and duration"", ""Frequency, pitch, and speed""], ""correct"": ""Frequency, intensity, and duration"", ""answer_text"": null, ""category"": null, ""source_file"": ""mcqs m7.docx"", ""source_module"": ""M7"", ""fmt"": ""csv"", ""module"": ""M7"", ""syllabusRef"": ""M7.0.3"", ""level"": """", ""difficulty"": ""MEDIUM"", ""subTopic"": """", ""isEssay"": false}",False
M7,,,Between what Hz range does normal conversation typically occur?,200 to 800 Hz,"500 to 3,000 Hz","1,000 to 4,000 Hz",,"500 to 3,000 Hz",MEDIUM,,,,APPROVED,,1,mcqs m7.docx,"{""raw"": ""Between what Hz range does normal conversation typically occur?"", ""question"": ""Between what Hz range does normal conversation typically occur?"", ""options"": [""200 to 800 Hz"", ""500 to 3,000 Hz"", ""1,000 to 4,000 Hz""], ""correct"": ""500 to 3,000 Hz"", ""answer_text"": null, ""category"": null, ""source_file"": ""mcqs m7.docx"", ""source_module"": ""M7"", ""fmt"": ""csv"", ""module"": ""M7"", ""syllabusRef"": """", ""level"": """", ""difficulty"": ""MEDIUM"", ""subTopic"": """", ""isEssay"": false}",False
M7,,,What can daily exposure to noise levels higher than 80 dB cause?,Improved hearing,Hearing impairment,Temporary hearing loss,,Hearing impairment,MEDIUM,,,,APPROVED,,1,mcqs m7.docx,"{""raw"": ""What can daily exposure to noise levels higher than 80 dB cause?"", ""question"": ""What can daily exposure to noise levels higher than 80 dB cause?"", ""options"": [""Improved hearing"", ""Hearing impairment"", ""Temporary hearing loss""], ""correct"": ""Hearing impairment"", ""answer_text"": null, ""category"": null, ""source_file"": ""mcqs m7.docx"", ""source_module"": ""M7"", ""fmt"": ""csv"", ""module"": ""M7"", ""syllabusRef"": """", ""level"": """", ""difficulty"": ""MEDIUM"", ""subTopic"": """", ""isEssay"": false}",False
M7,M7.07.01,,What three components make up the 'Fire Triangle'?,"Oxygen, water, heat","Fuel, oxygen, heat","Fuel, air, pressure",,"Fuel, oxygen, heat",MEDIUM,,,,APPROVED,,1,mcqs m7.docx,"{""raw"": ""What three components make up the 'Fire Triangle'?"", ""question"": ""What three components make up the 'Fire Triangle'?"", ""options"": [""Oxygen, water, heat"", ""Fuel, oxygen, heat"", ""Fuel, air, pressure""], ""correct"": ""Fuel, oxygen, heat"", ""answer_text"": null, ""category"": null, ""source_file"": ""mcqs m7.docx"", ""source_module"": ""M7"", ""fmt"": ""csv"", ""module"": ""M7"", ""syllabusRef"": ""M7.07.01"", ""level"": """", ""difficulty"": ""MEDIUM"", ""subTopic"": """", ""isEssay"": false}",False
