module,syllabusRef,level,text,optionA,optionB,optionC,optionD,correctAnswer,difficulty,subTopic,aiSourceRef,aiConfidence,status,reviewNote,points,sourceFile,rawJson,isEssay
M4,,,1. Which of the following is a characteristic of a PN junction diode?,It allows current to flow in both directions equally.,It allows current to flow in one direction only.,It blocks all current flow.,,It blocks all current flow.,MEDIUM,,,,DRAFT,Found in Suntech corpus,1,4.1 Diodes.docx,"{""raw"": ""1. Which of the following is a characteristic of a PN junction diode?"", ""question"": ""1. Which of the following is a characteristic of a PN junction diode?"", ""options"": [""It allows current to flow in both directions equally."", ""It allows current to flow in one direction only."", ""It blocks all current flow.""], ""correct"": ""It blocks all current flow."", ""answer_text"": null, ""category"": null, ""source_file"": ""4.1 Diodes.docx"", ""source_module"": ""M4"", ""fmt"": ""csv"", ""module"": ""M4"", ""syllabusRef"": """", ""level"": """", ""difficulty"": ""MEDIUM"", ""subTopic"": """", ""isEssay"": false}",False
M4,,,2. What material is commonly used to manufacture diodes?,Copper,Silicon,Aluminium,,Silicon,MEDIUM,,,,DRAFT,ANSWERED,1,4.1 Diodes.docx,"{""raw"": ""2. What material is commonly used to manufacture diodes?"", ""question"": ""2. What material is commonly used to manufacture diodes?"", ""options"": [""Copper"", ""Silicon"", ""Aluminium""], ""correct"": ""Silicon"", ""answer_text"": null, ""category"": null, ""source_file"": ""4.1 Diodes.docx"", ""source_module"": ""M4"", ""fmt"": ""csv"", ""module"": ""M4"", ""syllabusRef"": """", ""level"": """", ""difficulty"": ""MEDIUM"", ""subTopic"": """", ""isEssay"": false}",False
M4,,,3. What is the primary characteristic of a Zener diode?,It blocks all current flow.,It allows current to flow in reverse direction at a specific voltage.,It amplifies current.,,It blocks all current flow.,MEDIUM,,,,DRAFT,Found in Suntech corpus,1,4.1 Diodes.docx,"{""raw"": ""3. What is the primary characteristic of a Zener diode?"", ""question"": ""3. What is the primary characteristic of a Zener diode?"", ""options"": [""It blocks all current flow."", ""It allows current to flow in reverse direction at a specific voltage."", ""It amplifies current.""], ""correct"": ""It blocks all current flow."", ""answer_text"": null, ""category"": null, ""source_file"": ""4.1 Diodes.docx"", ""source_module"": ""M4"", ""fmt"": ""csv"", ""module"": ""M4"", ""syllabusRef"": """", ""level"": """", ""difficulty"": ""MEDIUM"", ""subTopic"": """", ""isEssay"": false}",False
M4,,,4. In which application would you most likely find a Light Emitting Diode (LED)?,Indicator lights,High-power transmission,AC motor control,,High-power transmission,MEDIUM,,,,DRAFT,Found in Suntech corpus,1,4.1 Diodes.docx,"{""raw"": ""4. In which application would you most likely find a Light Emitting Diode (LED)?"", ""question"": ""4. In which application would you most likely find a Light Emitting Diode (LED)?"", ""options"": [""Indicator lights"", ""High-power transmission"", ""AC motor control""], ""correct"": ""High-power transmission"", ""answer_text"": null, ""category"": null, ""source_file"": ""4.1 Diodes.docx"", ""source_module"": ""M4"", ""fmt"": ""csv"", ""module"": ""M4"", ""syllabusRef"": """", ""level"": """", ""difficulty"": ""MEDIUM"", ""subTopic"": """", ""isEssay"": false}",False
M4,,,5. Which property makes Silicon Controlled Rectifiers (SCRs) useful in power control?,High resistance to current flow,Ability to handle high voltage and current,Emission of light,,High resistance to current flow,MEDIUM,,,,DRAFT,Found in Suntech corpus,1,4.1 Diodes.docx,"{""raw"": ""5. Which property makes Silicon Controlled Rectifiers (SCRs) useful in power control?"", ""question"": ""5. Which property makes Silicon Controlled Rectifiers (SCRs) useful in power control?"", ""options"": [""High resistance to current flow"", ""Ability to handle high voltage and current"", ""Emission of light""], ""correct"": ""High resistance to current flow"", ""answer_text"": null, ""category"": null, ""source_file"": ""4.1 Diodes.docx"", ""source_module"": ""M4"", ""fmt"": ""csv"", ""module"": ""M4"", ""syllabusRef"": """", ""level"": """", ""difficulty"": ""MEDIUM"", ""subTopic"": """", ""isEssay"": false}",False
M4,,,6. What happens to a diode in forward bias?,It blocks current.,It allows current to flow.,It emits light.,,It blocks current.,EASY,,,,DRAFT,Found in Suntech corpus,1,4.1 Diodes.docx,"{""raw"": ""6. What happens to a diode in forward bias?"", ""question"": ""6. What happens to a diode in forward bias?"", ""options"": [""It blocks current."", ""It allows current to flow."", ""It emits light.""], ""correct"": ""It blocks current."", ""answer_text"": null, ""category"": null, ""source_file"": ""4.1 Diodes.docx"", ""source_module"": ""M4"", ""fmt"": ""csv"", ""module"": ""M4"", ""syllabusRef"": """", ""level"": """", ""difficulty"": ""EASY"", ""subTopic"": """", ""isEssay"": false}",False
M4,,,7. Which term describes the maximum reverse voltage a diode can withstand?,Peak Inverse Voltage (PIV),Forward Voltage Drop,Threshold Voltage,,Peak Inverse Voltage (PIV),MEDIUM,,,,DRAFT,Found in Suntech corpus,1,4.1 Diodes.docx,"{""raw"": ""7. Which term describes the maximum reverse voltage a diode can withstand?"", ""question"": ""7. Which term describes the maximum reverse voltage a diode can withstand?"", ""options"": [""Peak Inverse Voltage (PIV)"", ""Forward Voltage Drop"", ""Threshold Voltage""], ""correct"": ""Peak Inverse Voltage (PIV)"", ""answer_text"": null, ""category"": null, ""source_file"": ""4.1 Diodes.docx"", ""source_module"": ""M4"", ""fmt"": ""csv"", ""module"": ""M4"", ""syllabusRef"": """", ""level"": """", ""difficulty"": ""MEDIUM"", ""subTopic"": """", ""isEssay"": false}",False
M4,,,8. What is the main function of a rectifier diode in a power supply?,Convert AC to DC,Regulate voltage,Store energy,,Convert AC to DC,MEDIUM,,,,DRAFT,ANSWERED,1,4.1 Diodes.docx,"{""raw"": ""8. What is the main function of a rectifier diode in a power supply?"", ""question"": ""8. What is the main function of a rectifier diode in a power supply?"", ""options"": [""Convert AC to DC"", ""Regulate voltage"", ""Store energy""], ""correct"": ""Convert AC to DC"", ""answer_text"": null, ""category"": null, ""source_file"": ""4.1 Diodes.docx"", ""source_module"": ""M4"", ""fmt"": ""csv"", ""module"": ""M4"", ""syllabusRef"": """", ""level"": """", ""difficulty"": ""MEDIUM"", ""subTopic"": """", ""isEssay"": false}",False
M4,,,9. How does doping affect the conductivity of semiconductor materials?,It decreases conductivity.,It increases conductivity.,It has no effect on conductivity.,,It has no effect on conductivity.,MEDIUM,,,,DRAFT,Found in Suntech corpus,1,4.1 Diodes.docx,"{""raw"": ""9. How does doping affect the conductivity of semiconductor materials?"", ""question"": ""9. How does doping affect the conductivity of semiconductor materials?"", ""options"": [""It decreases conductivity."", ""It increases conductivity."", ""It has no effect on conductivity.""], ""correct"": ""It has no effect on conductivity."", ""answer_text"": null, ""category"": null, ""source_file"": ""4.1 Diodes.docx"", ""source_module"": ""M4"", ""fmt"": ""csv"", ""module"": ""M4"", ""syllabusRef"": """", ""level"": """", ""difficulty"": ""MEDIUM"", ""subTopic"": """", ""isEssay"": false}",False
M4,,,10. What is the result of reverse biasing a diode?,Current flows freely.,Current is blocked.,Voltage is amplified.,,Current is blocked.,MEDIUM,,,,DRAFT,ANSWERED,1,4.1 Diodes.docx,"{""raw"": ""10. What is the result of reverse biasing a diode?"", ""question"": ""10. What is the result of reverse biasing a diode?"", ""options"": [""Current flows freely."", ""Current is blocked."", ""Voltage is amplified.""], ""correct"": ""Current is blocked."", ""answer_text"": null, ""category"": null, ""source_file"": ""4.1 Diodes.docx"", ""source_module"": ""M4"", ""fmt"": ""csv"", ""module"": ""M4"", ""syllabusRef"": """", ""level"": """", ""difficulty"": ""MEDIUM"", ""subTopic"": """", ""isEssay"": false}",False
