module,syllabusRef,level,text,optionA,optionB,optionC,optionD,correctAnswer,difficulty,subTopic,aiSourceRef,aiConfidence,status,reviewNote,points,sourceFile,rawJson,isEssay
M17,M17.17.02,,Which part of the propeller blade meets the oncoming airflow first?,Trailing edge,Chord line,Leading edge,,Leading edge,MEDIUM,,,,DRAFT,Answer from doc-text: C) Leading edge,1,M17 - Propeller standard test.docx,"{""raw"": ""Which part of the propeller blade meets the oncoming airflow first?"", ""question"": ""Which part of the propeller blade meets the oncoming airflow first?"", ""options"": [""Trailing edge"", ""Chord line"", ""Leading edge""], ""correct"": ""Leading edge"", ""answer_text"": null, ""category"": null, ""source_file"": ""M17 - Propeller standard test.docx"", ""source_module"": ""M17"", ""fmt"": ""csv"", ""module"": ""M17"", ""syllabusRef"": ""M17.17.02"", ""level"": """", ""difficulty"": ""MEDIUM"", ""subTopic"": """", ""isEssay"": false}",False
M17,M17.17.02,,What is the blade face of a propeller also known as?,Thrust face,Cambered surface,Blade back,,Thrust face,MEDIUM,,,,DRAFT,Answer from doc-text: A) Thrust face,1,M17 - Propeller standard test.docx,"{""raw"": ""What is the blade face of a propeller also known as?"", ""question"": ""What is the blade face of a propeller also known as?"", ""options"": [""Thrust face"", ""Cambered surface"", ""Blade back""], ""correct"": ""Thrust face"", ""answer_text"": null, ""category"": null, ""source_file"": ""M17 - Propeller standard test.docx"", ""source_module"": ""M17"", ""fmt"": ""csv"", ""module"": ""M17"", ""syllabusRef"": ""M17.17.02"", ""level"": """", ""difficulty"": ""MEDIUM"", ""subTopic"": """", ""isEssay"": false}",False
M17,M17.17.02,,What angle should the propeller blade be set to for maximum efficiency relative to the oncoming airflow?,10º to 12º,4º to 6º,8º to 10º,,4º to 6º,MEDIUM,,,,DRAFT,Answer from doc-text: B) 4º to 6º,1,M17 - Propeller standard test.docx,"{""raw"": ""What angle should the propeller blade be set to for maximum efficiency relative to the oncoming airflow?"", ""question"": ""What angle should the propeller blade be set to for maximum efficiency relative to the oncoming airflow?"", ""options"": [""10º to 12º"", ""4º to 6º"", ""8º to 10º""], ""correct"": ""4º to 6º"", ""answer_text"": null, ""category"": null, ""source_file"": ""M17 - Propeller standard test.docx"", ""source_module"": ""M17"", ""fmt"": ""csv"", ""module"": ""M17"", ""syllabusRef"": ""M17.17.02"", ""level"": """", ""difficulty"": ""MEDIUM"", ""subTopic"": """", ""isEssay"": false}",False
M17,M17.17.02,,What creates the thrust in a propeller?,High-pressure air moving from front to rear,High-pressure air moving from rear to front,Low-pressure air moving from front to rear,,High-pressure air moving from front to rear,EASY,,,,DRAFT,Answer from doc-text: A) High-pressure air moving from front to rear,1,M17 - Propeller standard test.docx,"{""raw"": ""What creates the thrust in a propeller?"", ""question"": ""What creates the thrust in a propeller?"", ""options"": [""High-pressure air moving from front to rear"", ""High-pressure air moving from rear to front"", ""Low-pressure air moving from front to rear""], ""correct"": ""High-pressure air moving from front to rear"", ""answer_text"": null, ""category"": null, ""source_file"": ""M17 - Propeller standard test.docx"", ""source_module"": ""M17"", ""fmt"": ""csv"", ""module"": ""M17"", ""syllabusRef"": ""M17.17.02"", ""level"": """", ""difficulty"": ""EASY"", ""subTopic"": """", ""isEssay"": false}",False
M17,M17.17.07,,What term describes the distance between the leading and trailing edges of a propeller blade measured along the chord line?,Root,Chord,Tip,,Chord,MEDIUM,,,,DRAFT,Answer from doc-text: B) Chord,1,M17 - Propeller standard test.docx,"{""raw"": ""What term describes the distance between the leading and trailing edges of a propeller blade measured along the chord line?"", ""question"": ""What term describes the distance between the leading and trailing edges of a propeller blade measured along the chord line?"", ""options"": [""Root"", ""Chord"", ""Tip""], ""correct"": ""Chord"", ""answer_text"": null, ""category"": null, ""source_file"": ""M17 - Propeller standard test.docx"", ""source_module"": ""M17"", ""fmt"": ""csv"", ""module"": ""M17"", ""syllabusRef"": ""M17.17.07"", ""level"": """", ""difficulty"": ""MEDIUM"", ""subTopic"": """", ""isEssay"": false}",False
M17,M17.17.02,,What happens to the airflow over the propeller blade as the engine rotates it?,It creates a lift force called thrust,It creates a drag force called thrust,It creates a lift force called drag,,It creates a lift force called thrust,MEDIUM,,,,DRAFT,Answer from doc-text: A) It creates a lift force called thrust,1,M17 - Propeller standard test.docx,"{""raw"": ""What happens to the airflow over the propeller blade as the engine rotates it?"", ""question"": ""What happens to the airflow over the propeller blade as the engine rotates it?"", ""options"": [""It creates a lift force called thrust"", ""It creates a drag force called thrust"", ""It creates a lift force called drag""], ""correct"": ""It creates a lift force called thrust"", ""answer_text"": null, ""category"": null, ""source_file"": ""M17 - Propeller standard test.docx"", ""source_module"": ""M17"", ""fmt"": ""csv"", ""module"": ""M17"", ""syllabusRef"": ""M17.17.02"", ""level"": """", ""difficulty"": ""MEDIUM"", ""subTopic"": """", ""isEssay"": false}",False
M17,M17.17.02,,What is the term for the imaginary straight line stretching from the center of the leading edge to the center of the trailing edge of a propeller blade?,Axis line,Centerline,Chord line,,Chord line,MEDIUM,,,,DRAFT,Answer from doc-text: C) Chord line,1,M17 - Propeller standard test.docx,"{""raw"": ""What is the term for the imaginary straight line stretching from the center of the leading edge to the center of the trailing edge of a propeller blade?"", ""question"": ""What is the term for the imaginary straight line stretching from the center of the leading edge to the center of the trailing edge of a propeller blade?"", ""options"": [""Axis line"", ""Centerline"", ""Chord line""], ""correct"": ""Chord line"", ""answer_text"": null, ""category"": null, ""source_file"": ""M17 - Propeller standard test.docx"", ""source_module"": ""M17"", ""fmt"": ""csv"", ""module"": ""M17"", ""syllabusRef"": ""M17.17.02"", ""level"": """", ""difficulty"": ""MEDIUM"", ""subTopic"": """", ""isEssay"": false}",False
M17,M17.17.02,,What part of the propeller blade is attached to the hub?,Tip,Root,Chord,,Root,MEDIUM,,,,DRAFT,Answer from doc-text: B) Root,1,M17 - Propeller standard test.docx,"{""raw"": ""What part of the propeller blade is attached to the hub?"", ""question"": ""What part of the propeller blade is attached to the hub?"", ""options"": [""Tip"", ""Root"", ""Chord""], ""correct"": ""Root"", ""answer_text"": null, ""category"": null, ""source_file"": ""M17 - Propeller standard test.docx"", ""source_module"": ""M17"", ""fmt"": ""csv"", ""module"": ""M17"", ""syllabusRef"": ""M17.17.02"", ""level"": """", ""difficulty"": ""MEDIUM"", ""subTopic"": """", ""isEssay"": false}",False
M17,M17.17.02,,Which component secures all the propeller blades together?,Spinner,Hub,Clamp,,Hub,MEDIUM,,,,DRAFT,Answer from doc-text: B) Hub,1,M17 - Propeller standard test.docx,"{""raw"": ""Which component secures all the propeller blades together?"", ""question"": ""Which component secures all the propeller blades together?"", ""options"": [""Spinner"", ""Hub"", ""Clamp""], ""correct"": ""Hub"", ""answer_text"": null, ""category"": null, ""source_file"": ""M17 - Propeller standard test.docx"", ""source_module"": ""M17"", ""fmt"": ""csv"", ""module"": ""M17"", ""syllabusRef"": ""M17.17.02"", ""level"": """", ""difficulty"": ""MEDIUM"", ""subTopic"": """", ""isEssay"": false}",False
M17,M17.17.02,,How does the speed of the aircraft affect the relative airflow into the propeller?,It decreases the relative airflow,It has no effect on the relative airflow,It increases the relative airflow,,It increases the relative airflow,MEDIUM,,,,DRAFT,Answer from doc-text: C) It increases the relative airflow,1,M17 - Propeller standard test.docx,"{""raw"": ""How does the speed of the aircraft affect the relative airflow into the propeller?"", ""question"": ""How does the speed of the aircraft affect the relative airflow into the propeller?"", ""options"": [""It decreases the relative airflow"", ""It has no effect on the relative airflow"", ""It increases the relative airflow""], ""correct"": ""It increases the relative airflow"", ""answer_text"": null, ""category"": null, ""source_file"": ""M17 - Propeller standard test.docx"", ""source_module"": ""M17"", ""fmt"": ""csv"", ""module"": ""M17"", ""syllabusRef"": ""M17.17.02"", ""level"": """", ""difficulty"": ""MEDIUM"", ""subTopic"": """", ""isEssay"": false}",False
