module,syllabusRef,level,text,optionA,optionB,optionC,optionD,correctAnswer,difficulty,subTopic,aiSourceRef,aiConfidence,status,reviewNote,points,sourceFile,rawJson,isEssay
M9,M9.1,,What is the primary goal of studying Human Factors in aviation maintenance?,To reduce paperwork,To minimise accidents and incidents,To increase production speed,,To minimise accidents and incidents,EASY,09.01 General,,,APPROVED,,1,EASA-Module-9a-Human-Factors-Complete.pdf,"{""raw"": ""What is the primary goal of studying Human Factors in aviation maintenance?"", ""question"": ""What is the primary goal of studying Human Factors in aviation maintenance?"", ""options"": [""To reduce paperwork"", ""To minimise accidents and incidents"", ""To increase production speed""], ""correct"": ""To minimise accidents and incidents"", ""answer_text"": null, ""category"": null, ""source_file"": ""EASA-Module-9a-Human-Factors-Complete.pdf"", ""source_module"": ""M9"", ""fmt"": ""csv"", ""module"": ""M9"", ""syllabusRef"": ""M9.1"", ""level"": """", ""difficulty"": ""EASY"", ""subTopic"": ""09.01 General"", ""isEssay"": false}",False
M9,M9.1,,"According to the Suntech textbook, approximately what percentage of aviation accidents are attributable to human error?",25%,50%,75%,,75%,EASY,09.01 General,,,APPROVED,,1,EASA-Module-9a-Human-Factors-Complete.pdf,"{""raw"": ""According to the Suntech textbook, approximately what percentage of aviation accidents are attributable to human error?"", ""question"": ""According to the Suntech textbook, approximately what percentage of aviation accidents are attributable to human error?"", ""options"": [""25%"", ""50%"", ""75%""], ""correct"": ""75%"", ""answer_text"": null, ""category"": null, ""source_file"": ""EASA-Module-9a-Human-Factors-Complete.pdf"", ""source_module"": ""M9"", ""fmt"": ""csv"", ""module"": ""M9"", ""syllabusRef"": ""M9.1"", ""level"": """", ""difficulty"": ""EASY"", ""subTopic"": ""09.01 General"", ""isEssay"": false}",False
M9,M9.1,,The Aloha Airlines B737 incident on April 28th 1988 demonstrated the importance of which Human Factors topic?,Fatigue management,Structural inspection and human error,Fuel system design,,Structural inspection and human error,MEDIUM,09.01 General,,,APPROVED,,1,EASA-Module-9a-Human-Factors-Complete.pdf,"{""raw"": ""The Aloha Airlines B737 incident on April 28th 1988 demonstrated the importance of which Human Factors topic?"", ""question"": ""The Aloha Airlines B737 incident on April 28th 1988 demonstrated the importance of which Human Factors topic?"", ""options"": [""Fatigue management"", ""Structural inspection and human error"", ""Fuel system design""], ""correct"": ""Structural inspection and human error"", ""answer_text"": null, ""category"": null, ""source_file"": ""EASA-Module-9a-Human-Factors-Complete.pdf"", ""source_module"": ""M9"", ""fmt"": ""csv"", ""module"": ""M9"", ""syllabusRef"": ""M9.1"", ""level"": """", ""difficulty"": ""MEDIUM"", ""subTopic"": ""09.01 General"", ""isEssay"": false}",False
M9,M9.1,,What does Murphy's Law state in the context of aviation maintenance?,Everything that can go wrong will go wrong,All errors are preventable,Maintenance is always the cause of accidents,,Everything that can go wrong will go wrong,MEDIUM,09.01 General,,,APPROVED,,1,EASA-Module-9a-Human-Factors-Complete.pdf,"{""raw"": ""What does Murphy's Law state in the context of aviation maintenance?"", ""question"": ""What does Murphy's Law state in the context of aviation maintenance?"", ""options"": [""Everything that can go wrong will go wrong"", ""All errors are preventable"", ""Maintenance is always the cause of accidents""], ""correct"": ""Everything that can go wrong will go wrong"", ""answer_text"": null, ""category"": null, ""source_file"": ""EASA-Module-9a-Human-Factors-Complete.pdf"", ""source_module"": ""M9"", ""fmt"": ""csv"", ""module"": ""M9"", ""syllabusRef"": ""M9.1"", ""level"": """", ""difficulty"": ""MEDIUM"", ""subTopic"": ""09.01 General"", ""isEssay"": false}",False
M9,M9.1,,Why did the Hawaiian Islands Boeing 737 and BAC1-11 incidents make human factors part of accident investigation?,Because they were the first ever accidents,Because maintenance was found to be a contributing factor,Because weather was the sole cause,,Because maintenance was found to be a contributing factor,HARD,09.01 General,,,APPROVED,,1,EASA-Module-9a-Human-Factors-Complete.pdf,"{""raw"": ""Why did the Hawaiian Islands Boeing 737 and BAC1-11 incidents make human factors part of accident investigation?"", ""question"": ""Why did the Hawaiian Islands Boeing 737 and BAC1-11 incidents make human factors part of accident investigation?"", ""options"": [""Because they were the first ever accidents"", ""Because maintenance was found to be a contributing factor"", ""Because weather was the sole cause""], ""correct"": ""Because maintenance was found to be a contributing factor"", ""answer_text"": null, ""category"": null, ""source_file"": ""EASA-Module-9a-Human-Factors-Complete.pdf"", ""source_module"": ""M9"", ""fmt"": ""csv"", ""module"": ""M9"", ""syllabusRef"": ""M9.1"", ""level"": """", ""difficulty"": ""HARD"", ""subTopic"": ""09.01 General"", ""isEssay"": false}",False
M9,M9.2,,Which part of the eye is responsible for vision in low-light conditions?,Cones,Rods,Iris,,Rods,EASY,09.02 Human Performance and Limitations,,,APPROVED,,1,EASA-Module-9a-Human-Factors-Complete.pdf,"{""raw"": ""Which part of the eye is responsible for vision in low-light conditions?"", ""question"": ""Which part of the eye is responsible for vision in low-light conditions?"", ""options"": [""Cones"", ""Rods"", ""Iris""], ""correct"": ""Rods"", ""answer_text"": null, ""category"": null, ""source_file"": ""EASA-Module-9a-Human-Factors-Complete.pdf"", ""source_module"": ""M9"", ""fmt"": ""csv"", ""module"": ""M9"", ""syllabusRef"": ""M9.2"", ""level"": """", ""difficulty"": ""EASY"", ""subTopic"": ""09.02 Human Performance and Limitations"", ""isEssay"": false}",False
M9,M9.2,,What is the blind spot in vision caused by?,The cornea,The optic disc where the optic nerve exits,The iris,,The optic disc where the optic nerve exits,EASY,09.02 Human Performance and Limitations,,,APPROVED,,1,EASA-Module-9a-Human-Factors-Complete.pdf,"{""raw"": ""What is the blind spot in vision caused by?"", ""question"": ""What is the blind spot in vision caused by?"", ""options"": [""The cornea"", ""The optic disc where the optic nerve exits"", ""The iris""], ""correct"": ""The optic disc where the optic nerve exits"", ""answer_text"": null, ""category"": null, ""source_file"": ""EASA-Module-9a-Human-Factors-Complete.pdf"", ""source_module"": ""M9"", ""fmt"": ""csv"", ""module"": ""M9"", ""syllabusRef"": ""M9.2"", ""level"": """", ""difficulty"": ""EASY"", ""subTopic"": ""09.02 Human Performance and Limitations"", ""isEssay"": false}",False
M9,M9.2,,What is the approximate useful field of view for central vision?,1-2 degrees,3-5 degrees,10-15 degrees,,3-5 degrees,MEDIUM,09.02 Human Performance and Limitations,,,APPROVED,,1,EASA-Module-9a-Human-Factors-Complete.pdf,"{""raw"": ""What is the approximate useful field of view for central vision?"", ""question"": ""What is the approximate useful field of view for central vision?"", ""options"": [""1-2 degrees"", ""3-5 degrees"", ""10-15 degrees""], ""correct"": ""3-5 degrees"", ""answer_text"": null, ""category"": null, ""source_file"": ""EASA-Module-9a-Human-Factors-Complete.pdf"", ""source_module"": ""M9"", ""fmt"": ""csv"", ""module"": ""M9"", ""syllabusRef"": ""M9.2"", ""level"": """", ""difficulty"": ""MEDIUM"", ""subTopic"": ""09.02 Human Performance and Limitations"", ""isEssay"": false}",False
M9,M9.2,,Subliminal perception refers to:,Perception below the conscious threshold,Perception of very bright lights,Perception during sleep,,Perception below the conscious threshold,MEDIUM,09.02 Human Performance and Limitations,,,APPROVED,,1,EASA-Module-9a-Human-Factors-Complete.pdf,"{""raw"": ""Subliminal perception refers to:"", ""question"": ""Subliminal perception refers to:"", ""options"": [""Perception below the conscious threshold"", ""Perception of very bright lights"", ""Perception during sleep""], ""correct"": ""Perception below the conscious threshold"", ""answer_text"": null, ""category"": null, ""source_file"": ""EASA-Module-9a-Human-Factors-Complete.pdf"", ""source_module"": ""M9"", ""fmt"": ""csv"", ""module"": ""M9"", ""syllabusRef"": ""M9.2"", ""level"": """", ""difficulty"": ""MEDIUM"", ""subTopic"": ""09.02 Human Performance and Limitations"", ""isEssay"": false}",False
M9,M9.2,,"In the context of aviation maintenance, why is central decision-making particularly vulnerable to stress?",Because stress improves reaction time,Because stress narrows attention and reduces information processing,Because stress has no effect on decisions,,Because stress narrows attention and reduces information processing,HARD,09.02 Human Performance and Limitations,,,APPROVED,,1,EASA-Module-9a-Human-Factors-Complete.pdf,"{""raw"": ""In the context of aviation maintenance, why is central decision-making particularly vulnerable to stress?"", ""question"": ""In the context of aviation maintenance, why is central decision-making particularly vulnerable to stress?"", ""options"": [""Because stress improves reaction time"", ""Because stress narrows attention and reduces information processing"", ""Because stress has no effect on decisions""], ""correct"": ""Because stress narrows attention and reduces information processing"", ""answer_text"": null, ""category"": null, ""source_file"": ""EASA-Module-9a-Human-Factors-Complete.pdf"", ""source_module"": ""M9"", ""fmt"": ""csv"", ""module"": ""M9"", ""syllabusRef"": ""M9.2"", ""level"": """", ""difficulty"": ""HARD"", ""subTopic"": ""09.02 Human Performance and Limitations"", ""isEssay"": false}",False
M9,M9.2,,Which memory system has the largest capacity and longest duration?,Short-term memory,Working memory,Long-term memory,,Long-term memory,EASY,09.02 Human Performance and Limitations,,,APPROVED,,1,EASA-Module-9a-Human-Factors-Complete.pdf,"{""raw"": ""Which memory system has the largest capacity and longest duration?"", ""question"": ""Which memory system has the largest capacity and longest duration?"", ""options"": [""Short-term memory"", ""Working memory"", ""Long-term memory""], ""correct"": ""Long-term memory"", ""answer_text"": null, ""category"": null, ""source_file"": ""EASA-Module-9a-Human-Factors-Complete.pdf"", ""source_module"": ""M9"", ""fmt"": ""csv"", ""module"": ""M9"", ""syllabusRef"": ""M9.2"", ""level"": """", ""difficulty"": ""EASY"", ""subTopic"": ""09.02 Human Performance and Limitations"", ""isEssay"": false}",False
M9,M9.2,,What is the typical capacity of short-term memory in terms of information chunks?,3-5 chunks,7±2 chunks,10-12 chunks,,7±2 chunks,MEDIUM,09.02 Human Performance and Limitations,,,APPROVED,,1,EASA-Module-9a-Human-Factors-Complete.pdf,"{""raw"": ""What is the typical capacity of short-term memory in terms of information chunks?"", ""question"": ""What is the typical capacity of short-term memory in terms of information chunks?"", ""options"": [""3-5 chunks"", ""7±2 chunks"", ""10-12 chunks""], ""correct"": ""7±2 chunks"", ""answer_text"": null, ""category"": null, ""source_file"": ""EASA-Module-9a-Human-Factors-Complete.pdf"", ""source_module"": ""M9"", ""fmt"": ""csv"", ""module"": ""M9"", ""syllabusRef"": ""M9.2"", ""level"": """", ""difficulty"": ""MEDIUM"", ""subTopic"": ""09.02 Human Performance and Limitations"", ""isEssay"": false}",False
M9,M9.3,,What is a 'norm' in the context of aviation maintenance culture?,An official company rule,An unwritten rule or standard practice followed by the group,A legal regulation,,An unwritten rule or standard practice followed by the group,EASY,09.03 Social Psychology,,,APPROVED,,1,EASA-Module-9a-Human-Factors-Complete.pdf,"{""raw"": ""What is a 'norm' in the context of aviation maintenance culture?"", ""question"": ""What is a 'norm' in the context of aviation maintenance culture?"", ""options"": [""An official company rule"", ""An unwritten rule or standard practice followed by the group"", ""A legal regulation""], ""correct"": ""An unwritten rule or standard practice followed by the group"", ""answer_text"": null, ""category"": null, ""source_file"": ""EASA-Module-9a-Human-Factors-Complete.pdf"", ""source_module"": ""M9"", ""fmt"": ""csv"", ""module"": ""M9"", ""syllabusRef"": ""M9.3"", ""level"": """", ""difficulty"": ""EASY"", ""subTopic"": ""09.03 Social Psychology"", ""isEssay"": false}",False
M9,M9.3,,How can peer pressure affect maintenance technicians?,It always improves safety standards,It can lead to unsafe shortcuts being accepted as normal,It has no effect on technical decisions,,It can lead to unsafe shortcuts being accepted as normal,MEDIUM,09.03 Social Psychology,,,APPROVED,,1,EASA-Module-9a-Human-Factors-Complete.pdf,"{""raw"": ""How can peer pressure affect maintenance technicians?"", ""question"": ""How can peer pressure affect maintenance technicians?"", ""options"": [""It always improves safety standards"", ""It can lead to unsafe shortcuts being accepted as normal"", ""It has no effect on technical decisions""], ""correct"": ""It can lead to unsafe shortcuts being accepted as normal"", ""answer_text"": null, ""category"": null, ""source_file"": ""EASA-Module-9a-Human-Factors-Complete.pdf"", ""source_module"": ""M9"", ""fmt"": ""csv"", ""module"": ""M9"", ""syllabusRef"": ""M9.3"", ""level"": """", ""difficulty"": ""MEDIUM"", ""subTopic"": ""09.03 Social Psychology"", ""isEssay"": false}",False
