module,syllabusRef,level,text,optionA,optionB,optionC,optionD,correctAnswer,difficulty,subTopic,aiSourceRef,aiConfidence,status,reviewNote,points,sourceFile,rawJson
M5,M5.5.6(b),,1. What is the primary function of the cladding in an optical fiber?,To absorb light,To reflect light back into the core,To convert light into electrical signals,,B,MEDIUM,,,,ANSWERED,Domain-verified (score=1.00),1,10 Fibre Optics.docx,"{""raw"": ""1. What is the primary function of the cladding in an optical fiber?\n     a) To absorb light\n     b) To reflect light back into the core\n     c) To convert light into electrical signals"", ""question"": ""1. What is the primary function of the cladding in an optical fiber?"", ""options"": [""To absorb light"", ""To reflect light back into the core"", ""To convert light into electrical signals""], ""correct"": null, ""answer_text"": null, ""category"": null, ""source_file"": ""10 Fibre Optics.docx"", ""source_module"": ""M5"", ""fmt"": ""docx"", ""module"": ""M5"", ""syllabusRef"": ""M5.5.6(b)"", ""level"": null, ""difficulty"": ""MEDIUM""}"
M5,M5.5.6(b),,2. Which type of optical fiber can propagate only the fundamental mode?,Multimode fiber,Single mode fiber,Step index fiber,,B,MEDIUM,,,,ANSWERED,Domain-verified (score=1.00),1,10 Fibre Optics.docx,"{""raw"": ""2. Which type of optical fiber can propagate only the fundamental mode?\n     a) Multimode fiber\n     b) Single mode fiber\n     c) Step index fiber"", ""question"": ""2. Which type of optical fiber can propagate only the fundamental mode?"", ""options"": [""Multimode fiber"", ""Single mode fiber"", ""Step index fiber""], ""correct"": null, ""answer_text"": null, ""category"": null, ""source_file"": ""10 Fibre Optics.docx"", ""source_module"": ""M5"", ""fmt"": ""docx"", ""module"": ""M5"", ""syllabusRef"": ""M5.5.6(b)"", ""level"": null, ""difficulty"": ""MEDIUM""}"
M5,M5.5.6(b),,3. What is the main cause of signal attenuation in optical fibers?,Voltage drop,Power loss,Absorption and scattering,,C,MEDIUM,,,,ANSWERED,Domain-verified (score=1.00),1,10 Fibre Optics.docx,"{""raw"": ""3. What is the main cause of signal attenuation in optical fibers?\n     a) Voltage drop\n     b) Power loss\n     c) Absorption and scattering"", ""question"": ""3. What is the main cause of signal attenuation in optical fibers?"", ""options"": [""Voltage drop"", ""Power loss"", ""Absorption and scattering""], ""correct"": null, ""answer_text"": null, ""category"": null, ""source_file"": ""10 Fibre Optics.docx"", ""source_module"": ""M5"", ""fmt"": ""docx"", ""module"": ""M5"", ""syllabusRef"": ""M5.5.6(b)"", ""level"": null, ""difficulty"": ""MEDIUM""}"
M5,M5.05.08,,4. What type of light source is typically used for longdistance fiber optic communication?,LED,Laser diode,Incandescent bulb,,B,MEDIUM,,,,ANSWERED,Verified correction (score=1.00),1,10 Fibre Optics.docx,"{""raw"": ""4. What type of light source is typically used for longdistance fiber optic communication?\n     a) LED\n     b) Laser diode\n     c) Incandescent bulb"", ""question"": ""4. What type of light source is typically used for longdistance fiber optic communication?"", ""options"": [""LED"", ""Laser diode"", ""Incandescent bulb""], ""correct"": null, ""answer_text"": null, ""category"": null, ""source_file"": ""10 Fibre Optics.docx"", ""source_module"": ""M5"", ""fmt"": ""docx"", ""module"": ""M5"", ""syllabusRef"": ""M5.05.08"", ""level"": null, ""difficulty"": ""MEDIUM""}"
M5,M5.05.04,,5. Which optical fiber type is typically used for shortrange data communication?,Multimode fiber,Single mode fiber,Step index fiber,,A,MEDIUM,,,,ANSWERED,Domain-verified (score=1.00),1,10 Fibre Optics.docx,"{""raw"": ""5. Which optical fiber type is typically used for shortrange data communication?\n     a) Multimode fiber\n     b) Single mode fiber\n     c) Step index fiber"", ""question"": ""5. Which optical fiber type is typically used for shortrange data communication?"", ""options"": [""Multimode fiber"", ""Single mode fiber"", ""Step index fiber""], ""correct"": null, ""answer_text"": null, ""category"": null, ""source_file"": ""10 Fibre Optics.docx"", ""source_module"": ""M5"", ""fmt"": ""docx"", ""module"": ""M5"", ""syllabusRef"": ""M5.05.04"", ""level"": null, ""difficulty"": ""MEDIUM""}"
M5,,,6. How does a mechanical splice differ from a fusion splice?,It is intended to be temporary,It is stronger,It is intended to be permanent but removable,,A,MEDIUM,,,,ANSWERED,Verified correction (score=1.00),1,10 Fibre Optics.docx,"{""raw"": ""6. How does a mechanical splice differ from a fusion splice?\n     a) It is intended to be temporary\n     b) It is stronger\n     c) It is intended to be permanent but removable"", ""question"": ""6. How does a mechanical splice differ from a fusion splice?"", ""options"": [""It is intended to be temporary"", ""It is stronger"", ""It is intended to be permanent but removable""], ""correct"": null, ""answer_text"": null, ""category"": null, ""source_file"": ""10 Fibre Optics.docx"", ""source_module"": ""M5"", ""fmt"": ""docx"", ""module"": ""M5"", ""difficulty"": ""MEDIUM""}"
M5,M5.5.6(b),,7. What is the purpose of the buffer coating on an optical fiber?,To transmit light,To protect the fiber from physical damage,To increase the refractive index,,B,MEDIUM,,,,ANSWERED,Domain-verified (score=1.00),1,10 Fibre Optics.docx,"{""raw"": ""7. What is the purpose of the buffer coating on an optical fiber?\n     a) To transmit light\n     b) To protect the fiber from physical damage\n     c) To increase the refractive index"", ""question"": ""7. What is the purpose of the buffer coating on an optical fiber?"", ""options"": [""To transmit light"", ""To protect the fiber from physical damage"", ""To increase the refractive index""], ""correct"": null, ""answer_text"": null, ""category"": null, ""source_file"": ""10 Fibre Optics.docx"", ""source_module"": ""M5"", ""fmt"": ""docx"", ""module"": ""M5"", ""syllabusRef"": ""M5.5.6(b)"", ""level"": null, ""difficulty"": ""MEDIUM""}"
M5,M5.5.6(b),,8. Which phenomenon is responsible for the guiding of light in optical fibers?,Refraction,Absorption,Total internal reflection,,C,MEDIUM,,,,ANSWERED,Domain-verified (score=1.00),1,10 Fibre Optics.docx,"{""raw"": ""8. Which phenomenon is responsible for the guiding of light in optical fibers?\n     a) Refraction\n     b) Absorption\n     c) Total internal reflection"", ""question"": ""8. Which phenomenon is responsible for the guiding of light in optical fibers?"", ""options"": [""Refraction"", ""Absorption"", ""Total internal reflection""], ""correct"": null, ""answer_text"": null, ""category"": null, ""source_file"": ""10 Fibre Optics.docx"", ""source_module"": ""M5"", ""fmt"": ""docx"", ""module"": ""M5"", ""syllabusRef"": ""M5.5.6(b)"", ""level"": null, ""difficulty"": ""MEDIUM""}"
M5,M5.5.6(b),,9. What are the main advantages of using fiber optics over traditional copper cables?,Lower cost and easier installation,Higher bandwidth and immunity to electromagnetic interference,Longer lifespan and lower maintenance,,B,MEDIUM,,,,ANSWERED,Domain-verified (score=1.00),1,10 Fibre Optics.docx,"{""raw"": ""9. What are the main advantages of using fiber optics over traditional copper cables?\n     a) Lower cost and easier installation\n     b) Higher bandwidth and immunity to electromagnetic interference\n     c) Longer lifespan and lower maintenance"", ""question"": ""9. What are the main advantages of using fiber optics over traditional copper cables?"", ""options"": [""Lower cost and easier installation"", ""Higher bandwidth and immunity to electromagnetic interference"", ""Longer lifespan and lower maintenance""], ""correct"": null, ""answer_text"": null, ""category"": null, ""source_file"": ""10 Fibre Optics.docx"", ""source_module"": ""M5"", ""fmt"": ""docx"", ""module"": ""M5"", ""syllabusRef"": ""M5.5.6(b)"", ""level"": null, ""difficulty"": ""MEDIUM""}"
M5,M5.5.6(b),,10. What is the typical core diameter of a single mode fiber?,50 micrometers,9 micrometers,62.5 micrometers,,B,MEDIUM,,,,ANSWERED,Domain-verified (score=1.00),1,10 Fibre Optics.docx,"{""raw"": ""10. What is the typical core diameter of a single mode fiber?\n     a) 50 micrometers\n     b) 9 micrometers\n     c) 62.5 micrometers"", ""question"": ""10. What is the typical core diameter of a single mode fiber?"", ""options"": [""50 micrometers"", ""9 micrometers"", ""62.5 micrometers""], ""correct"": null, ""answer_text"": null, ""category"": null, ""source_file"": ""10 Fibre Optics.docx"", ""source_module"": ""M5"", ""fmt"": ""docx"", ""module"": ""M5"", ""syllabusRef"": ""M5.5.6(b)"", ""level"": null, ""difficulty"": ""MEDIUM""}"
M5,,,11. Which component converts electrical signals into optical signals in a fiber optic system?,Optical fiber,Transmitter,Receiver,,B,MEDIUM,,,,ANSWERED,Domain-verified (score=1.00),1,10 Fibre Optics.docx,"{""raw"": ""11. Which component converts electrical signals into optical signals in a fiber optic system?\n     a) Optical fiber\n     b) Transmitter\n     c) Receiver"", ""question"": ""11. Which component converts electrical signals into optical signals in a fiber optic system?"", ""options"": [""Optical fiber"", ""Transmitter"", ""Receiver""], ""correct"": null, ""answer_text"": null, ""category"": null, ""source_file"": ""10 Fibre Optics.docx"", ""source_module"": ""M5"", ""fmt"": ""docx"", ""module"": ""M5"", ""difficulty"": ""MEDIUM""}"
M5,M5.5.6(b),,12. What type of fiber optic cable is used to protect the fibers from environmental damage?,Jacketed fiber,Loosetube fiber,Ribbon fiber,,B,MEDIUM,,,,ANSWERED,Verified correction (score=1.00),1,10 Fibre Optics.docx,"{""raw"": ""12. What type of fiber optic cable is used to protect the fibers from environmental damage?\n     a) Jacketed fiber\n     b) Loosetube fiber\n     c) Ribbon fiber"", ""question"": ""12. What type of fiber optic cable is used to protect the fibers from environmental damage?"", ""options"": [""Jacketed fiber"", ""Loosetube fiber"", ""Ribbon fiber""], ""correct"": null, ""answer_text"": null, ""category"": null, ""source_file"": ""10 Fibre Optics.docx"", ""source_module"": ""M5"", ""fmt"": ""docx"", ""module"": ""M5"", ""syllabusRef"": ""M5.5.6(b)"", ""level"": null, ""difficulty"": ""MEDIUM""}"
M5,M5.05.02,,13. Which type of fiber optic connector allows for easy reconfiguration of optical systems?,Splice,Coupler,Connector,,C,MEDIUM,,,,ANSWERED,Domain-verified (score=1.00),1,10 Fibre Optics.docx,"{""raw"": ""13. Which type of fiber optic connector allows for easy reconfiguration of optical systems?\n     a) Splice\n     b) Coupler\n     c) Connector"", ""question"": ""13. Which type of fiber optic connector allows for easy reconfiguration of optical systems?"", ""options"": [""Splice"", ""Coupler"", ""Connector""], ""correct"": null, ""answer_text"": null, ""category"": null, ""source_file"": ""10 Fibre Optics.docx"", ""source_module"": ""M5"", ""fmt"": ""docx"", ""module"": ""M5"", ""syllabusRef"": ""M5.05.02"", ""level"": null, ""difficulty"": ""MEDIUM""}"
M5,,,14. What is a primary benefit of using graded index fibers over step index fibers?,Lower cost,Reduced modal dispersion,Easier installation,,B,MEDIUM,,,,ANSWERED,Domain-verified (score=1.00),1,10 Fibre Optics.docx,"{""raw"": ""14. What is a primary benefit of using graded index fibers over step index fibers?\n     a) Lower cost\n     b) Reduced modal dispersion\n     c) Easier installation"", ""question"": ""14. What is a primary benefit of using graded index fibers over step index fibers?"", ""options"": [""Lower cost"", ""Reduced modal dispersion"", ""Easier installation""], ""correct"": null, ""answer_text"": null, ""category"": null, ""source_file"": ""10 Fibre Optics.docx"", ""source_module"": ""M5"", ""fmt"": ""docx"", ""module"": ""M5"", ""difficulty"": ""MEDIUM""}"
M5,,,15. Which type of splicing method uses heat to join optical fibers?,Mechanical splicing,Fusion splicing,Optical coupling,,B,MEDIUM,,,,ANSWERED,Domain-verified (score=1.00),1,10 Fibre Optics.docx,"{""raw"": ""15. Which type of splicing method uses heat to join optical fibers?\n     a) Mechanical splicing\n     b) Fusion splicing\n     c) Optical coupling"", ""question"": ""15. Which type of splicing method uses heat to join optical fibers?"", ""options"": [""Mechanical splicing"", ""Fusion splicing"", ""Optical coupling""], ""correct"": null, ""answer_text"": null, ""category"": null, ""source_file"": ""10 Fibre Optics.docx"", ""source_module"": ""M5"", ""fmt"": ""docx"", ""module"": ""M5"", ""difficulty"": ""MEDIUM""}"
M5,M5.5.6(b),,16. What is the function of a fiber optic coupler?,To split or combine optical signals,To amplify optical signals,To convert optical signals to electrical signals,,A,MEDIUM,,,,ANSWERED,Domain-verified (score=1.00),1,10 Fibre Optics.docx,"{""raw"": ""16. What is the function of a fiber optic coupler?\n     a) To split or combine optical signals\n     b) To amplify optical signals\n     c) To convert optical signals to electrical signals"", ""question"": ""16. What is the function of a fiber optic coupler?"", ""options"": [""To split or combine optical signals"", ""To amplify optical signals"", ""To convert optical signals to electrical signals""], ""correct"": null, ""answer_text"": null, ""category"": null, ""source_file"": ""10 Fibre Optics.docx"", ""source_module"": ""M5"", ""fmt"": ""docx"", ""module"": ""M5"", ""syllabusRef"": ""M5.5.6(b)"", ""level"": null, ""difficulty"": ""MEDIUM""}"
M5,M5.5.5(a),,17. What is a common use of multimode optical fibers?,Local area networks (LANs),Long-distance telecommunications,Satellite communication,,A,MEDIUM,,,,ANSWERED,Domain-verified (score=1.00),1,10 Fibre Optics.docx,"{""raw"": ""17. What is a common use of multimode optical fibers?\n     a) Local area networks (LANs)\n     b) Long-distance telecommunications\n     c) Satellite communication"", ""question"": ""17. What is a common use of multimode optical fibers?"", ""options"": [""Local area networks (LANs)"", ""Long-distance telecommunications"", ""Satellite communication""], ""correct"": null, ""answer_text"": null, ""category"": null, ""source_file"": ""10 Fibre Optics.docx"", ""source_module"": ""M5"", ""fmt"": ""docx"", ""module"": ""M5"", ""syllabusRef"": ""M5.5.5(a)"", ""level"": null, ""difficulty"": ""MEDIUM""}"
M5,M5.05.04,,18. Which factor can significantly affect the performance of a fiber optic data link?,Cable color,Connector alignment,Signal frequency,,B,MEDIUM,,,,ANSWERED,Domain-verified (score=1.00),1,10 Fibre Optics.docx,"{""raw"": ""18. Which factor can significantly affect the performance of a fiber optic data link?\n     a) Cable color\n     b) Connector alignment\n     c) Signal frequency"", ""question"": ""18. Which factor can significantly affect the performance of a fiber optic data link?"", ""options"": [""Cable color"", ""Connector alignment"", ""Signal frequency""], ""correct"": null, ""answer_text"": null, ""category"": null, ""source_file"": ""10 Fibre Optics.docx"", ""source_module"": ""M5"", ""fmt"": ""docx"", ""module"": ""M5"", ""syllabusRef"": ""M5.05.04"", ""level"": null, ""difficulty"": ""MEDIUM""}"
M5,M5.5.6(b),,19. What is the purpose of the optical detector in a fiber optic receiver?,To transmit optical signals,To convert optical signals back into electrical signals,To split optical signals,,B,MEDIUM,,,,ANSWERED,Verified correction (score=1.00),1,10 Fibre Optics.docx,"{""raw"": ""19. What is the purpose of the optical detector in a fiber optic receiver?\n     a) To transmit optical signals\n     b) To convert optical signals back into electrical signals\n     c) To split optical signals"", ""question"": ""19. What is the purpose of the optical detector in a fiber optic receiver?"", ""options"": [""To transmit optical signals"", ""To convert optical signals back into electrical signals"", ""To split optical signals""], ""correct"": null, ""answer_text"": null, ""category"": null, ""source_file"": ""10 Fibre Optics.docx"", ""source_module"": ""M5"", ""fmt"": ""docx"", ""module"": ""M5"", ""syllabusRef"": ""M5.5.6(b)"", ""level"": null, ""difficulty"": ""MEDIUM""}"
