module,syllabusRef,level,text,optionA,optionB,optionC,optionD,correctAnswer,difficulty,subTopic,aiSourceRef,aiConfidence,status,reviewNote,points,sourceFile,rawJson
M17,M17.17.02,,Which part of the propeller blade meets the oncoming airflow first?,Trailing edge,Chord line,Leading edge,,C,MEDIUM,,,,DRAFT,Answer from doc-text: C) Leading edge,1,M17 - Propeller standard test.docx,"{""raw"": ""Which part of the propeller blade meets the oncoming airflow first?\nA) Trailing edge\nB) Chord line\nC) Leading edge"", ""question"": ""Which part of the propeller blade meets the oncoming airflow first?"", ""options"": [""Trailing edge"", ""Chord line"", ""Leading edge""], ""correct"": null, ""answer_text"": null, ""category"": null, ""source_file"": ""M17 - Propeller standard test.docx"", ""source_module"": ""M17"", ""fmt"": ""docx"", ""module"": ""M17"", ""syllabusRef"": ""M17.17.02"", ""level"": null, ""difficulty"": ""MEDIUM""}"
M17,M17.17.02,,What is the blade face of a propeller also known as?,Thrust face,Cambered surface,Blade back,,A,MEDIUM,,,,DRAFT,Answer from doc-text: A) Thrust face,1,M17 - Propeller standard test.docx,"{""raw"": ""What is the blade face of a propeller also known as?\nA) Thrust face\nB) Cambered surface\nC) Blade back"", ""question"": ""What is the blade face of a propeller also known as?"", ""options"": [""Thrust face"", ""Cambered surface"", ""Blade back""], ""correct"": null, ""answer_text"": null, ""category"": null, ""source_file"": ""M17 - Propeller standard test.docx"", ""source_module"": ""M17"", ""fmt"": ""docx"", ""module"": ""M17"", ""syllabusRef"": ""M17.17.02"", ""level"": null, ""difficulty"": ""MEDIUM""}"
M17,M17.17.02,,What angle should the propeller blade be set to for maximum efficiency relative to the oncoming airflow?,10º to 12º,4º to 6º,8º to 10º,,B,MEDIUM,,,,DRAFT,Answer from doc-text: B) 4º to 6º,1,M17 - Propeller standard test.docx,"{""raw"": ""What angle should the propeller blade be set to for maximum efficiency relative to the oncoming airflow?\nA) 10º to 12º\nB) 4º to 6º\nC) 8º to 10º"", ""question"": ""What angle should the propeller blade be set to for maximum efficiency relative to the oncoming airflow?"", ""options"": [""10º to 12º"", ""4º to 6º"", ""8º to 10º""], ""correct"": null, ""answer_text"": null, ""category"": null, ""source_file"": ""M17 - Propeller standard test.docx"", ""source_module"": ""M17"", ""fmt"": ""docx"", ""module"": ""M17"", ""syllabusRef"": ""M17.17.02"", ""level"": null, ""difficulty"": ""MEDIUM""}"
M17,M17.17.02,,What creates the thrust in a propeller?,High-pressure air moving from front to rear,High-pressure air moving from rear to front,Low-pressure air moving from front to rear,,A,EASY,,,,DRAFT,Answer from doc-text: A) High-pressure air moving from front to rear,1,M17 - Propeller standard test.docx,"{""raw"": ""What creates the thrust in a propeller?\nA) High-pressure air moving from front to rear\nB) High-pressure air moving from rear to front\nC) Low-pressure air moving from front to rear"", ""question"": ""What creates the thrust in a propeller?"", ""options"": [""High-pressure air moving from front to rear"", ""High-pressure air moving from rear to front"", ""Low-pressure air moving from front to rear""], ""correct"": null, ""answer_text"": null, ""category"": null, ""source_file"": ""M17 - Propeller standard test.docx"", ""source_module"": ""M17"", ""fmt"": ""docx"", ""module"": ""M17"", ""syllabusRef"": ""M17.17.02"", ""level"": null, ""difficulty"": ""EASY""}"
M17,M17.17.07,,What term describes the distance between the leading and trailing edges of a propeller blade measured along the chord line?,Root,Chord,Tip,,B,MEDIUM,,,,DRAFT,Answer from doc-text: B) Chord,1,M17 - Propeller standard test.docx,"{""raw"": ""What term describes the distance between the leading and trailing edges of a propeller blade measured along the chord line?\nA) Root\nB) Chord\nC) Tip"", ""question"": ""What term describes the distance between the leading and trailing edges of a propeller blade measured along the chord line?"", ""options"": [""Root"", ""Chord"", ""Tip""], ""correct"": null, ""answer_text"": null, ""category"": null, ""source_file"": ""M17 - Propeller standard test.docx"", ""source_module"": ""M17"", ""fmt"": ""docx"", ""module"": ""M17"", ""syllabusRef"": ""M17.17.07"", ""level"": null, ""difficulty"": ""MEDIUM""}"
M17,M17.17.02,,What happens to the airflow over the propeller blade as the engine rotates it?,It creates a lift force called thrust,It creates a drag force called thrust,It creates a lift force called drag,,A,MEDIUM,,,,DRAFT,Answer from doc-text: A) It creates a lift force called thrust,1,M17 - Propeller standard test.docx,"{""raw"": ""What happens to the airflow over the propeller blade as the engine rotates it?\nA) It creates a lift force called thrust\nB) It creates a drag force called thrust\nC) It creates a lift force called drag"", ""question"": ""What happens to the airflow over the propeller blade as the engine rotates it?"", ""options"": [""It creates a lift force called thrust"", ""It creates a drag force called thrust"", ""It creates a lift force called drag""], ""correct"": null, ""answer_text"": null, ""category"": null, ""source_file"": ""M17 - Propeller standard test.docx"", ""source_module"": ""M17"", ""fmt"": ""docx"", ""module"": ""M17"", ""syllabusRef"": ""M17.17.02"", ""level"": null, ""difficulty"": ""MEDIUM""}"
M17,M17.17.02,,What is the term for the imaginary straight line stretching from the center of the leading edge to the center of the trailing edge of a propeller blade?,Axis line,Centerline,Chord line,,C,MEDIUM,,,,DRAFT,Answer from doc-text: C) Chord line,1,M17 - Propeller standard test.docx,"{""raw"": ""What is the term for the imaginary straight line stretching from the center of the leading edge to the center of the trailing edge of a propeller blade?\nA) Axis line\nB) Centerline\nC) Chord line"", ""question"": ""What is the term for the imaginary straight line stretching from the center of the leading edge to the center of the trailing edge of a propeller blade?"", ""options"": [""Axis line"", ""Centerline"", ""Chord line""], ""correct"": null, ""answer_text"": null, ""category"": null, ""source_file"": ""M17 - Propeller standard test.docx"", ""source_module"": ""M17"", ""fmt"": ""docx"", ""module"": ""M17"", ""syllabusRef"": ""M17.17.02"", ""level"": null, ""difficulty"": ""MEDIUM""}"
M17,M17.17.02,,What part of the propeller blade is attached to the hub?,Tip,Root,Chord,,B,MEDIUM,,,,DRAFT,Answer from doc-text: B) Root,1,M17 - Propeller standard test.docx,"{""raw"": ""What part of the propeller blade is attached to the hub?\nA) Tip\nB) Root\nC) Chord"", ""question"": ""What part of the propeller blade is attached to the hub?"", ""options"": [""Tip"", ""Root"", ""Chord""], ""correct"": null, ""answer_text"": null, ""category"": null, ""source_file"": ""M17 - Propeller standard test.docx"", ""source_module"": ""M17"", ""fmt"": ""docx"", ""module"": ""M17"", ""syllabusRef"": ""M17.17.02"", ""level"": null, ""difficulty"": ""MEDIUM""}"
M17,M17.17.02,,Which component secures all the propeller blades together?,Spinner,Hub,Clamp,,B,MEDIUM,,,,DRAFT,Answer from doc-text: B) Hub,1,M17 - Propeller standard test.docx,"{""raw"": ""Which component secures all the propeller blades together?\nA) Spinner\nB) Hub\nC) Clamp"", ""question"": ""Which component secures all the propeller blades together?"", ""options"": [""Spinner"", ""Hub"", ""Clamp""], ""correct"": null, ""answer_text"": null, ""category"": null, ""source_file"": ""M17 - Propeller standard test.docx"", ""source_module"": ""M17"", ""fmt"": ""docx"", ""module"": ""M17"", ""syllabusRef"": ""M17.17.02"", ""level"": null, ""difficulty"": ""MEDIUM""}"
M17,M17.17.02,,How does the speed of the aircraft affect the relative airflow into the propeller?,It decreases the relative airflow,It has no effect on the relative airflow,It increases the relative airflow,,C,MEDIUM,,,,DRAFT,Answer from doc-text: C) It increases the relative airflow,1,M17 - Propeller standard test.docx,"{""raw"": ""How does the speed of the aircraft affect the relative airflow into the propeller?\nA) It decreases the relative airflow\nB) It has no effect on the relative airflow\nC) It increases the relative airflow"", ""question"": ""How does the speed of the aircraft affect the relative airflow into the propeller?"", ""options"": [""It decreases the relative airflow"", ""It has no effect on the relative airflow"", ""It increases the relative airflow""], ""correct"": null, ""answer_text"": null, ""category"": null, ""source_file"": ""M17 - Propeller standard test.docx"", ""source_module"": ""M17"", ""fmt"": ""docx"", ""module"": ""M17"", ""syllabusRef"": ""M17.17.02"", ""level"": null, ""difficulty"": ""MEDIUM""}"
