module,syllabusRef,level,text,optionA,optionB,optionC,optionD,correctAnswer,difficulty,subTopic,aiSourceRef,aiConfidence,status,reviewNote,points,sourceFile,rawJson
M7,M7.07.01,,What must employers ensure is available at all times?,Updated employee schedules,Material Safety Data Sheets,Equipment maintenance logs,,B,MEDIUM,,,,APPROVED,,1,mcqs m7.docx,"{""raw"": ""What must employers ensure is available at all times?\nA) Updated employee schedules\nB) Material Safety Data Sheets*\nC) Equipment maintenance logs"", ""question"": ""What must employers ensure is available at all times?"", ""options"": [""Updated employee schedules"", ""Material Safety Data Sheets"", ""Equipment maintenance logs""], ""correct"": ""B"", ""answer_text"": null, ""category"": null, ""source_file"": ""mcqs m7.docx"", ""source_module"": ""M7"", ""fmt"": ""docx"", ""module"": ""M7"", ""syllabusRef"": ""M7.07.01"", ""level"": null, ""difficulty"": ""MEDIUM""}"
M7,M7.07.01,,What is the purpose of Material Safety Data Sheets (MSDS)?,To describe company policies,To provide information on hazardous materials,To list employee responsibilities,,B,MEDIUM,,,,APPROVED,,1,mcqs m7.docx,"{""raw"": ""What is the purpose of Material Safety Data Sheets (MSDS)?\nA) To describe company policies\nB) To provide information on hazardous materials*\nC) To list employee responsibilities\nParagraph 2: Dull Cutting Tools"", ""question"": ""What is the purpose of Material Safety Data Sheets (MSDS)?"", ""options"": [""To describe company policies"", ""To provide information on hazardous materials"", ""To list employee responsibilities""], ""correct"": ""B"", ""answer_text"": null, ""category"": null, ""source_file"": ""mcqs m7.docx"", ""source_module"": ""M7"", ""fmt"": ""docx"", ""module"": ""M7"", ""syllabusRef"": ""M7.07.01"", ""level"": null, ""difficulty"": ""MEDIUM""}"
M7,M7.07.03,,What type of cutting tools presents a greater threat of injury?,Sharp tools,Dull cutting tools,Electric tools,,B,MEDIUM,,,,APPROVED,,1,mcqs m7.docx,"{""raw"": ""What type of cutting tools presents a greater threat of injury?\nA) Sharp tools\nB) Dull cutting tools*\nC) Electric tools"", ""question"": ""What type of cutting tools presents a greater threat of injury?"", ""options"": [""Sharp tools"", ""Dull cutting tools"", ""Electric tools""], ""correct"": ""B"", ""answer_text"": null, ""category"": null, ""source_file"": ""mcqs m7.docx"", ""source_module"": ""M7"", ""fmt"": ""docx"", ""module"": ""M7"", ""syllabusRef"": ""M7.07.03"", ""level"": null, ""difficulty"": ""MEDIUM""}"
M7,M7.07.03,,Why can dull tools be more dangerous?,They are harder to grip,They require excessive force to operate,They are usually heavier,,B,EASY,,,,APPROVED,,1,mcqs m7.docx,"{""raw"": ""Why can dull tools be more dangerous?\nA) They are harder to grip\nB) They require excessive force to operate* \nC) They are usually heavier"", ""question"": ""Why can dull tools be more dangerous?"", ""options"": [""They are harder to grip"", ""They require excessive force to operate"", ""They are usually heavier""], ""correct"": ""B"", ""answer_text"": null, ""category"": null, ""source_file"": ""mcqs m7.docx"", ""source_module"": ""M7"", ""fmt"": ""docx"", ""module"": ""M7"", ""syllabusRef"": ""M7.07.03"", ""level"": null, ""difficulty"": ""EASY""}"
M7,M7.0.3,,What should be ensured before using cutting tools?,That the tools are dull,That the tools are sharp and serviceable,That the tools are made of plastic,,B,MEDIUM,,,,APPROVED,,1,mcqs m7.docx,"{""raw"": ""What should be ensured before using cutting tools?\nA) That the tools are dull\nB) That the tools are sharp and serviceable* \nC) That the tools are made of plastic\nParagraph 3: Noise Exposure Guidelines"", ""question"": ""What should be ensured before using cutting tools?"", ""options"": [""That the tools are dull"", ""That the tools are sharp and serviceable"", ""That the tools are made of plastic""], ""correct"": ""B"", ""answer_text"": null, ""category"": null, ""source_file"": ""mcqs m7.docx"", ""source_module"": ""M7"", ""fmt"": ""docx"", ""module"": ""M7"", ""syllabusRef"": ""M7.0.3"", ""level"": null, ""difficulty"": ""MEDIUM""}"
M7,M7.0.3,,"According to OSHA, what is the maximum permissible noise level for continuous exposure over 8 hours?",70 dB,80 dB,85 dB,,B,MEDIUM,,,,APPROVED,,1,mcqs m7.docx,"{""raw"": ""According to OSHA, what is the maximum permissible noise level for continuous exposure over 8 hours?\nA) 70 dB\nB) 80 dB*\nC) 85 dB"", ""question"": ""According to OSHA, what is the maximum permissible noise level for continuous exposure over 8 hours?"", ""options"": [""70 dB"", ""80 dB"", ""85 dB""], ""correct"": ""B"", ""answer_text"": null, ""category"": null, ""source_file"": ""mcqs m7.docx"", ""source_module"": ""M7"", ""fmt"": ""docx"", ""module"": ""M7"", ""syllabusRef"": ""M7.0.3"", ""level"": null, ""difficulty"": ""MEDIUM""}"
M7,,,When is ear protection mandatory?,Above 80 dB,Above 90 dB,At all times,,B,EASY,,,,APPROVED,,1,mcqs m7.docx,"{""raw"": ""When is ear protection mandatory?\nA) Above 80 dB\nB) Above 90 dB* \nC) At all times"", ""question"": ""When is ear protection mandatory?"", ""options"": [""Above 80 dB"", ""Above 90 dB"", ""At all times""], ""correct"": ""B"", ""answer_text"": null, ""category"": null, ""source_file"": ""mcqs m7.docx"", ""source_module"": ""M7"", ""fmt"": ""docx"", ""module"": ""M7"", ""difficulty"": ""EASY""}"
M7,,,What is optional when noise levels are less than 80 dB?,Taking breaks,Using ear protection,Performing maintenance,,B,MEDIUM,,,,APPROVED,,1,mcqs m7.docx,"{""raw"": ""What is optional when noise levels are less than 80 dB?\nA) Taking breaks\nB) Using ear protection*\nC) Performing maintenance\nParagraph 4: Ear Protection"", ""question"": ""What is optional when noise levels are less than 80 dB?"", ""options"": [""Taking breaks"", ""Using ear protection"", ""Performing maintenance""], ""correct"": ""B"", ""answer_text"": null, ""category"": null, ""source_file"": ""mcqs m7.docx"", ""source_module"": ""M7"", ""fmt"": ""docx"", ""module"": ""M7"", ""difficulty"": ""MEDIUM""}"
M7,M7.0.3,,What dB range do the wax-impregnated polyurethane earplugs provide protection?,20 to 25 dB,30 to 35 dB,40 to 50 dB,,B,MEDIUM,,,,APPROVED,,1,mcqs m7.docx,"{""raw"": ""What dB range do the wax-impregnated polyurethane earplugs provide protection?\nA) 20 to 25 dB\nB) 30 to 35 dB*\nC) 40 to 50 dB"", ""question"": ""What dB range do the wax-impregnated polyurethane earplugs provide protection?"", ""options"": [""20 to 25 dB"", ""30 to 35 dB"", ""40 to 50 dB""], ""correct"": ""B"", ""answer_text"": null, ""category"": null, ""source_file"": ""mcqs m7.docx"", ""source_module"": ""M7"", ""fmt"": ""docx"", ""module"": ""M7"", ""syllabusRef"": ""M7.0.3"", ""level"": null, ""difficulty"": ""MEDIUM""}"
M7,,,What does active noise reduction cancel out?,High-frequency noises,Low-frequency noise,Voice levels,,B,EASY,,,,APPROVED,,1,mcqs m7.docx,"{""raw"": ""What does active noise reduction cancel out?\nA) High-frequency noises\nB) Low-frequency noise* \nC) Voice levels"", ""question"": ""What does active noise reduction cancel out?"", ""options"": [""High-frequency noises"", ""Low-frequency noise"", ""Voice levels""], ""correct"": ""B"", ""answer_text"": null, ""category"": null, ""source_file"": ""mcqs m7.docx"", ""source_module"": ""M7"", ""fmt"": ""docx"", ""module"": ""M7"", ""difficulty"": ""EASY""}"
M7,M7.0.7,,When are earplugs combined with earmuffs recommended?,Above 95 dB,Above 115 dB,Above 80 dB,,B,MEDIUM,,,,APPROVED,,1,mcqs m7.docx,"{""raw"": ""When are earplugs combined with earmuffs recommended?\nA) Above 95 dB\nB) Above 115 dB*\nC) Above 80 dB\nParagraph 5: Sound Variables"", ""question"": ""When are earplugs combined with earmuffs recommended?"", ""options"": [""Above 95 dB"", ""Above 115 dB"", ""Above 80 dB""], ""correct"": ""B"", ""answer_text"": null, ""category"": null, ""source_file"": ""mcqs m7.docx"", ""source_module"": ""M7"", ""fmt"": ""docx"", ""module"": ""M7"", ""syllabusRef"": ""M7.0.7"", ""level"": null, ""difficulty"": ""MEDIUM""}"
M7,M7.0.3,,What are the three distinctive variables of sound?,"Frequency, intensity, and rhythm","Frequency, intensity, and duration","Frequency, pitch, and speed",,B,MEDIUM,,,,APPROVED,,1,mcqs m7.docx,"{""raw"": ""What are the three distinctive variables of sound?\nA) Frequency, intensity, and rhythm\nB) Frequency, intensity, and duration*\nC) Frequency, pitch, and speed"", ""question"": ""What are the three distinctive variables of sound?"", ""options"": [""Frequency, intensity, and rhythm"", ""Frequency, intensity, and duration"", ""Frequency, pitch, and speed""], ""correct"": ""B"", ""answer_text"": null, ""category"": null, ""source_file"": ""mcqs m7.docx"", ""source_module"": ""M7"", ""fmt"": ""docx"", ""module"": ""M7"", ""syllabusRef"": ""M7.0.3"", ""level"": null, ""difficulty"": ""MEDIUM""}"
